artist_id,artist_name,genre,primary_country,catalog_size,signed_to_major,debut_date,trailing_12mo_avg_daily_streams
A043,Ezra Wells,latin,South Korea,46,False,2017-01-29,193660
A044,Wren Hayes,r&b,South Korea,129,False,2019-07-10,2422010
A045,Otis Granger,afrobeats,Nigeria,23,False,2022-01-30,41201
A046,Niko Wells,latin,Japan,95,False,2016-08-21,4292033
A047,Mer Lane,r&b,US,13,False,2021-09-22,258290
A048,Ari Joon,electronic,Brazil,7,False,2019-07-06,16983
A049,Rhea Quill,country,Australia,49,False,2022-02-12,28902
A050,Lior Fox,r&b,Sweden,161,False,2021-12-11,6039209
A051,Elio Quinn,latin,France,4,False,2021-01-06,10236
A052,Frey Garza,afrobeats,Sweden,28,False,2018-03-31,455009
A053,Vesper Storm,electronic,US,51,False,2019-07-24,1105334
A054,Marlow North,afrobeats,Sweden,19,False,2022-01-26,490018
A055,Indigo Xan,pop,Nigeria,23,False,2020-02-12,1298025
A056,Zaia Xan,r&b,Japan,20,False,2016-06-23,2008072
A057,Wren Sterling,country,Brazil,48,False,2020-12-19,224369
A058,Luna Lyon,rock,South Korea,8,False,2021-07-19,3487157
A059,Ash Vey,k-pop,UK,35,False,2019-10-28,482735
A060,Otis Ivers,rock,Mexico,32,False,2020-07-02,203987
A061,Nova Crowe,afrobeats,Mexico,29,False,2018-12-01,44021
A062,Atlas Sato,pop,Australia,46,False,2021-03-31,1353353
A063,Eira Lopez,indie,Canada,19,False,2022-03-24,465104
A064,Kalo Tang,indie,Japan,12,False,2020-09-12,1090612
A065,Sage Knight,r&b,Brazil,10,False,2021-06-26,3425473
A066,Oren Lyon,rock,Sweden,71,False,2020-07-29,757612
A067,Iver Roan,country,UK,33,False,2022-04-19,64705
A068,Ilo Hart,hip-hop,Canada,93,False,2021-04-01,139306
A069,Jett Diaz,pop,South Korea,23,False,2021-02-22,2101827
A070,Lior Sato,r&b,France,79,False,2016-05-25,2014346
A071,Halen Dane,indie,Spain,40,False,2019-01-08,903438
A072,Ash Knight,k-pop,Australia,8,False,2017-12-17,28946
A073,Luna Frost,pop,Nigeria,35,False,2020-03-23,68096
A074,Xen Diaz,country,UK,78,False,2021-06-03,172441
A075,Wilder Brand,pop,Germany,110,False,2019-08-19,228102
A076,Mer Adler,hip-hop,France,8,False,2019-11-20,1494337
A077,Maven Ashby,rock,Sweden,23,False,2019-12-07,2168245
A078,Quill Hayes,afrobeats,Sweden,28,False,2017-05-22,443831
A079,Iver Cole,electronic,Spain,28,False,2022-05-08,352951
A080,Ari Xu,k-pop,UK,21,False,2016-06-07,2905055
A081,Nash Black,indie,Germany,39,False,2019-02-03,1703539
A082,Nova Fane,hip-hop,Spain,144,False,2019-09-14,5481308
A083,Vesper Crowe,indie,Australia,15,False,2020-05-22,345463
A084,Skye Halsey,latin,Australia,54,False,2021-03-01,1571988
A085,Zaia Hart,latin,UK,4,False,2021-01-01,26648
A086,Dax Quill,r&b,Australia,45,False,2020-07-13,1130123
A087,Luma Lane,rock,France,36,False,2018-09-12,811761
A088,Rune Ueda,afrobeats,Japan,48,False,2018-12-24,1729998
A089,Quinn Ueda,r&b,Germany,58,False,2016-07-31,264082
A090,Wren Vey,afrobeats,Germany,57,False,2020-07-17,71587
A091,Wren Zane,afrobeats,Japan,36,False,2020-12-18,692583
A092,Jett Reign,electronic,Mexico,20,False,2019-11-08,1257567
A093,Saint Lane,afrobeats,Nigeria,24,False,2017-10-14,1775631
A094,Zaia Penn,afrobeats,UK,74,False,2020-04-17,1923496
A095,Dru Grey,country,Spain,61,False,2018-04-13,1635319
A096,Wyn Black,hip-hop,Australia,51,False,2020-10-05,61690
A097,Ezra Fox,afrobeats,UK,39,False,2021-12-12,174915
A098,Geo Brand,electronic,Canada,30,False,2018-02-03,63173
A099,Indigo Hayes,electronic,UK,11,False,2021-11-24,2519877
A100,Vale Romero,electronic,US,75,False,2021-08-09,1063365
